"","h 0.25","h 0.3","h 0.35","h 0.4","h 0.45","h 0.5","h 0.55","h 0.6","h 0.65","h 0.7","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",1957.7,1894.08,1844.46,1804.34,1771,1742.64,1717.94,1695.94,1670.91,1648.14,1626.98,1606.91,1587.47,1568.34,1549.12,1529.1
"surveylike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1902.75,1843.9,1798.71,1762.98,1734.28,1711.16,1692.87,1692.87,1667,1642.97,1620.42,1598.76,1577.58,1556.42,1534.83,1511.88
"agelike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",54.9259,50.1717,45.7467,41.3488,36.7101,31.4798,25.0681,3.06728,3.90907,5.17306,6.56335,8.14914,9.89507,11.9152,14.2895,17.2186
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",4.7443,4.54784,4.38457,4.24224,4.11287,3.98986,3.86534,3.44516,3.38278,3.31884,3.25898,3.20089,3.14467,3.08818,3.03026,2.96929
"SB0",213477,202665,195609,190605,186690,183101,178821,107067,110840,112333,114004,115357,117750,120307,122931,127651
"SBfinal",6333.93,6442.65,6614.14,6854.07,7171.73,7569.33,8015.38,6090.36,7122.14,8462.37,10135.7,12133.9,14434.3,17133.4,20375.6,24591.9
"deplfinal",0.0296703,0.0317896,0.0338131,0.0359595,0.0384152,0.0413396,0.0448236,0.0568838,0.0642558,0.0753327,0.0889063,0.105186,0.122584,0.142414,0.165748,0.192649
"yieldspr",1.94068e-15,1.22421e-14,2379.04,6609.38,8664.66,9736.66,10306.6,11685.8,11808,11850.1,11810.7,11722.9,11573,11386.3,11170,10881.3
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",0.171954,0.158784,0.147742,0.138171,0.129648,0.121877,0.114638,0.121283,0.114339,0.109015,0.10405,0.0995506,0.0947755,0.0901002,0.0855104,0.0800605
"lminfem",22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24,22.24
"lmaxfem",55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6
"kfem",0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
"cv1fem",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"cv2fem",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"mmale",0.492207,0.469976,0.447182,0.422733,0.395447,0.363452,0.323147,0.110376,0.109906,0.107186,0.104791,0.10214,0.100208,0.098174,0.0958722,0.0943053
"lminmale",22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679,22.0679
"lmaxmale",49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05
"kmale",0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"cv1male",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"cv2male",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
