"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_BH_steep",0.25,1957.7,11.2733,213477,6333.93,0.0296703,0
"9","SR_BH_steep",0.3,1894.08,5.68579,202665,6442.65,0.0317896,0
"8","SR_BH_steep",0.35,1844.46,1.7333,195609,6614.14,0.0338131,0
"7","SR_BH_steep",0.4,1804.34,0.00286293,190605,6854.07,0.0359595,0
"6","SR_BH_steep",0.45,1771,13.7555,186690,7171.73,0.0384152,0
"5","SR_BH_steep",0.5,1742.64,0.87593,183101,7569.33,0.0413396,0
"4","SR_BH_steep",0.55,1717.94,1.1712,178821,8015.38,0.0448236,0
"3","SR_BH_steep",0.6,1695.94,0.45016,107067,6090.36,0.0568838,0
"2","SR_BH_steep",0.65,1670.91,4.97036,110840,7122.14,0.0642558,0
"1","SR_BH_steep",0.7,1648.14,16.6223,112333,8462.37,0.0753327,0
"11","SR_BH_steep",0.75,1626.98,8.7753,114004,10135.7,0.0889063,0
"12","SR_BH_steep",0.8,1606.91,8.04584,115357,12133.9,0.105186,0
"13","SR_BH_steep",0.85,1587.47,10.4309,117750,14434.3,0.122584,0
"14","SR_BH_steep",0.9,1568.34,0.495397,120307,17133.4,0.142414,0
"15","SR_BH_steep",0.95,1549.12,11.2216,122931,20375.6,0.165748,0
"16","SR_BH_steep",1,1529.1,0.159654,127651,24591.9,0.192649,0
